ma_phieu,gioi_tinh,nhom_tuoi,kinh_nghiem,quy_mo_dn,nganh,DL1,DL2,DL3,DL4,KS1,KS2,KS3,KS4,IP1,IP2,IP3,IP4
R001,Nam,40-49,Trên 10 năm,Vừa,Thương mại-Dịch vụ,3,2,2,2,3,3,3,2,3,3,4,3
R002,Nam,40-49,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,4,3,3,4,3,3,4,4,3,3,3
R003,Nữ,40-49,6-10 năm,Vừa,Thương mại-Dịch vụ,3,2,3,2,3,2,3,3,2,2,3,1
R004,Nam,40-49,6-10 năm,Vừa,Thương mại-Dịch vụ,4,4,3,5,4,3,5,3,3,3,3,4
R005,Nam,50 trở lên,Dưới 3 năm,Siêu nhỏ,Khác,5,3,3,3,4,,4,3,3,4,4,4
R006,Nam,Dưới 30,6-10 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,2,4,4,3,3,3,4,1
R007,Nam,30-39,6-10 năm,Nhỏ,Thương mại-Dịch vụ,2,2,3,4,2,2,3,4,3,3,4,2
R008,Nữ,30-39,Trên 10 năm,Vừa,Xây dựng,3,3,4,3,4,4,4,4,3,3,3,3
R009,Nữ,40-49,6-10 năm,Vừa,Sản xuất,4,4,2,2,3,3,4,4,3,3,2,3
R010,Nữ,40-49,Trên 10 năm,Siêu nhỏ,Thương mại-Dịch vụ,2,4,3,2,4,4,5,4,3,4,2,4
R011,Nữ,30-39,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,4,4,3,3,3,4,3,4
R012,Nam,40-49,3-5 năm,Nhỏ,Khác,5,4,3,3,2,5,3,4,1,3,,2
R013,Nam,30-39,6-10 năm,Vừa,Thương mại-Dịch vụ,3,3,3,3,5,4,4,4,4,3,4,4
R014,Nam,50 trở lên,Trên 10 năm,Nhỏ,Sản xuất,4,3,3,4,2,2,4,3,4,2,3,3
R015,Nữ,30-39,3-5 năm,Vừa,Xây dựng,4,3,3,4,3,2,4,3,3,4,3,4
R016,Nam,30-39,3-5 năm,Siêu nhỏ,Khác,3,1,3,3,3,3,3,4,3,3,2,2
R017,Nam,30-39,Dưới 3 năm,Nhỏ,Khác,3,3,4,2,4,4,4,4,3,1,2,1
R018,Nam,30-39,6-10 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,3,4,4,2,3,4,4,4
R019,Nữ,30-39,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,3,4,4,3,4,3,3,2,3,2,2
R020,Nam,40-49,6-10 năm,Vừa,Xây dựng,1,2,3,3,1,1,2,1,3,3,2,1
R021,Nam,30-39,6-10 năm,Siêu nhỏ,Xây dựng,3,3,4,4,3,3,4,2,2,3,3,3
R022,Nam,30-39,3-5 năm,Vừa,Thương mại-Dịch vụ,3,4,4,3,4,5,4,4,3,2,3,4
R023,Nam,Dưới 30,3-5 năm,Vừa,Thương mại-Dịch vụ,3,4,3,2,3,4,3,4,3,4,3,3
R024,Nam,40-49,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,3,3,3,3,4,3,5,3,5,5,4,4
R025,Nam,50 trở lên,6-10 năm,Vừa,Công nghệ thông tin,3,4,4,5,3,3,3,3,3,5,3,3
R026,Nữ,40-49,6-10 năm,Nhỏ,Sản xuất,4,4,4,4,4,3,3,5,4,4,4,3
R027,Nữ,40-49,3-5 năm,Nhỏ,Xây dựng,,3,3,2,3,2,3,4,3,3,2,2
R028,Nữ,30-39,3-5 năm,Siêu nhỏ,Sản xuất,5,4,4,4,4,4,4,4,4,5,4,4
R029,Nữ,50 trở lên,6-10 năm,Siêu nhỏ,Sản xuất,2,2,2,3,1,1,2,2,4,2,2,3
R030,Nữ,Dưới 30,Dưới 3 năm,Nhỏ,Sản xuất,4,2,4,4,4,4,4,5,4,3,4,4
R031,Nam,50 trở lên,Dưới 3 năm,Nhỏ,Sản xuất,2,2,2,2,3,2,3,3,4,4,4,4
R032,Nữ,40-49,Dưới 3 năm,Nhỏ,Sản xuất,4,5,4,4,4,5,5,5,4,4,2,3
R033,Nữ,50 trở lên,Trên 10 năm,Nhỏ,Sản xuất,5,4,4,4,5,5,5,4,4,4,4,4
R034,Nữ,30-39,Trên 10 năm,Nhỏ,Khác,4,4,4,5,4,4,4,5,5,4,4,3
R035,Nam,Dưới 30,3-5 năm,Siêu nhỏ,Khác,3,2,3,3,4,4,5,4,3,2,3,3
R036,Nữ,40-49,Dưới 3 năm,Nhỏ,Sản xuất,4,4,4,3,5,4,4,4,2,3,3,3
R037,Nam,Dưới 30,6-10 năm,Siêu nhỏ,Công nghệ thông tin,3,3,3,2,4,1,2,3,3,4,4,3
R038,Nữ,40-49,6-10 năm,Nhỏ,Xây dựng,2,4,4,3,3,3,3,5,4,3,4,4
R039,Nam,30-39,6-10 năm,Vừa,Thương mại-Dịch vụ,4,4,4,4,3,4,4,4,5,4,4,5
R040,Nữ,Dưới 30,6-10 năm,Siêu nhỏ,Sản xuất,4,4,4,4,4,2,4,4,5,4,5,5
R041,Nam,30-39,6-10 năm,Vừa,Xây dựng,4,4,5,3,5,5,4,,4,3,4,4
R042,Nam,Dưới 30,Dưới 3 năm,Vừa,Công nghệ thông tin,3,4,2,3,3,3,2,2,3,4,2,4
R043,Nữ,30-39,3-5 năm,Nhỏ,Công nghệ thông tin,3,4,4,3,1,3,2,3,3,2,3,3
R044,Nữ,Dưới 30,3-5 năm,Nhỏ,Sản xuất,5,5,5,4,4,4,3,3,5,4,3,4
R045,Nữ,Dưới 30,Trên 10 năm,Nhỏ,Sản xuất,3,3,0,3,4,4,3,4,4,4,4,5
R046,Nữ,Dưới 30,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,4,4,4,3,3,4,5,4,2,3,3
R047,Nam,40-49,6-10 năm,Nhỏ,Công nghệ thông tin,5,4,5,5,3,3,4,3,5,5,5,5
R048,Nữ,40-49,Dưới 3 năm,Siêu nhỏ,Sản xuất,3,2,2,3,4,4,3,4,3,4,4,3
R049,Nữ,30-39,3-5 năm,Vừa,Công nghệ thông tin,5,5,5,5,4,4,4,4,5,5,5,5
R050,Nữ,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,5,5,5,4,4,4,4,5,5,4,5
R051,Nam,40-49,3-5 năm,Vừa,Xây dựng,4,4,5,4,3,3,4,3,5,4,3,4
R052,Nam,50 trở lên,Trên 10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,5,4,4,3,2,5,4,2,3,2,2
R053,Nam,40-49,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,3,3,3,3,2,4,3,2,4,4,4,3
R054,Nam,30-39,6-10 năm,Siêu nhỏ,Sản xuất,5,3,4,5,5,4,3,5,4,5,4,4
R055,Nam,50 trở lên,Trên 10 năm,Nhỏ,Công nghệ thông tin,2,3,3,3,4,4,4,4,3,4,3,3
R056,Nữ,30-39,6-10 năm,Siêu nhỏ,Sản xuất,4,2,3,4,3,3,4,4,4,5,4,4
R057,Nữ,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,2,3,3,4,3,3,3,3,4,5,4,4
R058,Nam,40-49,6-10 năm,Vừa,Sản xuất,3,4,3,4,5,4,4,5,,5,4,3
R059,Nữ,40-49,6-10 năm,Siêu nhỏ,Xây dựng,5,3,3,5,4,4,3,5,4,4,4,4
R060,Nữ,50 trở lên,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,3,3,3,4,3,4,3,2,4,4,5
R061,Nữ,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,2,3,4,3,5,4,4,5,3,4,2,3
R062,Nữ,30-39,6-10 năm,Vừa,Thương mại-Dịch vụ,2,3,5,3,3,2,3,4,2,2,1,2
R063,Nữ,Dưới 30,6-10 năm,Nhỏ,Thương mại-Dịch vụ,3,2,2,2,2,2,1,2,2,1,1,3
R064,Nam,30-39,3-5 năm,Vừa,Công nghệ thông tin,3,3,2,2,3,3,3,2,4,5,4,2
R065,Nữ,Dưới 30,Trên 10 năm,Vừa,Sản xuất,4,2,3,2,3,4,4,3,3,2,3,2
R066,Nữ,40-49,6-10 năm,Vừa,Sản xuất,5,4,5,3,5,5,5,3,4,5,4,4
